courseName,courseUrl
Java Programming and Software Engineering Fundamentals,https://www.coursera.org/specializations/java-programming
Object Oriented Programming in Java,https://www.coursera.org/specializations/object-oriented-programming
Object Oriented Java Programming: Data Structures and Beyond,https://www.coursera.org/specializations/java-object-oriented
Introducción a Java,https://www.coursera.org/learn/introduccion-java
"Parallel, Concurrent, and Distributed Programming in Java",https://www.coursera.org/specializations/pcdp
Java Programming: Solving Problems with Software,https://www.coursera.org/learn/java-programming
Bachelor of Science in Computer Science,https://www.coursera.org/degrees/bachelor-of-science-computer-science-london
Object Oriented Programming in Java,https://www.coursera.org/learn/object-oriented-java
Computer Science: Programming with a Purpose,https://www.coursera.org/learn/cs-programming-java
Building Scalable Java Microservices with Spring Boot and Spring Cloud,https://www.coursera.org/learn/google-cloud-java-spring
